,date,weekday,temp_f,destination,time,route,miles,avg_mph,weather_code,weather
61,2021-05-12,Wednesday,61,Home,0 days 00:39:06,A,7.4,11.36,51,Drizzle
62,2021-05-20,Thursday,60,Work,0 days 00:32:37,A,7.4,13.61,1,Clear
63,2021-05-20,Thursday,88,Home,0 days 00:39:27,A,7.4,11.25,0,Clear
64,2021-05-25,Tuesday,64,Work,0 days 00:31:11,A,7.4,14.24,1,Clear
65,2021-05-25,Tuesday,87,Home,0 days 00:39:33,A,7.4,11.23,51,Drizzle
66,2021-05-27,Thursday,75,Home,0 days 00:39:57,A,7.4,11.11,1,Clear
67,2021-06-04,Friday,64,Work,0 days 00:33:47,A,7.4,13.14,51,Drizzle
68,2021-06-04,Friday,81,Home,0 days 00:38:10,A,7.4,11.63,1,Clear
69,2021-06-25,Friday,70,Work,0 days 00:31:45,A,7.4,13.98,1,Clear
70,2021-06-25,Friday,84,Home,0 days 00:44:02,B,8.3,11.31,3,Clear
71,2021-07-28,Wednesday,70,Work,0 days 00:33:30,A,7.4,13.25,0,Clear
72,2021-07-28,Wednesday,90,Home,0 days 00:38:10,A,7.4,11.63,51,Drizzle
73,2021-08-06,Friday,66,Work,0 days 00:31:37,A,7.4,14.04,0,Clear
74,2021-08-06,Friday,88,Home,0 days 00:38:28,A,7.4,11.54,1,Clear
75,2021-09-03,Friday,50,Work,0 days 00:32:18,A,7.4,13.75,0,Clear
76,2021-09-03,Friday,73,Home,0 days 00:40:48,A,7.4,10.88,1,Clear
77,2021-10-06,Wednesday,63,Work,0 days 00:32:20,A,7.4,13.73,0,Clear
78,2021-10-06,Wednesday,79,Home,0 days 00:41:57,A,7.4,10.58,51,Drizzle
79,2021-10-12,Tuesday,57,Work,0 days 00:31:23,A,7.4,14.15,0,Clear
80,2021-10-12,Tuesday,57,Home,0 days 00:39:35,A,7.4,11.22,2,Clear
81,2022-03-02,Wednesday,35,Work,0 days 00:36:04,A,7.4,12.31,51,Drizzle
82,2022-03-02,Wednesday,55,Home,0 days 00:40:03,A,7.4,11.09,0,Clear
83,2022-03-16,Wednesday,38,Work,0 days 00:33:31,A,7.4,13.25,0,Clear
84,2022-03-16,Wednesday,70,Home,0 days 00:40:12,A,7.4,11.04,0,Clear
85,2022-04-06,Wednesday,50,Work,0 days 00:32:10,A,7.4,13.8,63,Rain
86,2022-04-06,Wednesday,60,Home,0 days 00:39:47,A,7.4,11.16,51,Drizzle
87,2022-04-22,Friday,45,Work,0 days 00:33:11,A,7.4,13.38,1,Clear
88,2022-04-22,Friday,68,Home,0 days 00:38:27,A,7.4,11.55,2,Clear
89,2022-05-24,Tuesday,60,Work,0 days 00:32:45,A,7.4,13.56,2,Clear
90,2022-05-24,Tuesday,70,Home,0 days 00:40:40,A,7.4,10.92,3,Clear
91,2022-06-20,Monday,61,Work,0 days 00:32:39,A,7.4,13.6,3,Clear
92,2022-06-20,Monday,72,Home,0 days 00:40:11,A,7.4,11.05,3,Clear
93,2022-06-29,Wednesday,85,Home,0 days 00:39:33,A,7.4,11.23,0,Clear
94,2022-07-01,Friday,75,Work,0 days 00:32:00,A,7.4,13.88,0,Clear
95,2022-07-08,Friday,70,Work,0 days 00:32:06,D,7.3,13.64,1,Clear
96,2022-07-08,Friday,79,Home,0 days 00:37:24,A,7.4,11.87,3,Clear
97,2022-07-11,Monday,74,Work,0 days 00:32:44,A,7.4,13.56,1,Clear
98,2022-07-11,Monday,85,Home,0 days 00:38:32,A,7.4,11.52,1,Clear
99,2022-08-31,Wednesday,70,Work,0 days 00:31:48,A,7.4,13.96,0,Clear
100,2022-08-31,Wednesday,81,Home,0 days 00:36:05,A,7.4,12.3,1,Clear
101,2022-09-01,Thursday,68,Work,0 days 00:33:43,A,7.4,13.17,0,Clear
102,2022-09-01,Thursday,82,Home,0 days 00:38:01,A,7.4,11.68,0,Clear
103,2022-09-20,Tuesday,65,Work,0 days 00:32:36,A,7.4,13.62,0,Clear
104,2022-09-20,Tuesday,75,Home,0 days 00:38:13,A,7.4,11.62,1,Clear
105,2022-10-11,Tuesday,47,Work,0 days 00:31:27,A,7.4,14.12,0,Clear
106,2023-04-20,Thursday,51,Work,0 days 00:33:40,A,7.4,13.19,1,Clear
107,2023-04-20,Thursday,82,Home,0 days 00:40:17,A,7.4,11.02,1,Clear
108,2023-04-21,Friday,62,Work,0 days 00:32:04,A,7.4,13.85,2,Clear
